(4,4,F,36-40,1.61-1.70,NORMALI,DESTRA,CAMMINANDO,MANO,TASCA_SINISTRA_DAVANTI_PANTALONI)
(5,5,F,36-40,1.61-1.70,NORMALI,DESTRA,CAMMINANDO,CHIAMATA,TASCA_SINISTRA_DAVANTI_PANTALONI)
(6,6,F,36-40,1.61-1.70,NORMALI,DESTRA,CAMMINANDO,CHIAMATA,TASCA_SINISTRA_DIETRO_PANTALONI)
(7,7,F,36-40,1.61-1.70,NORMALI,DESTRA,CAMMINANDO,MANO,TASCA_DESTRA_DIETRO_PANTALONI)
(8,8,F,36-40,1.61-1.70,NORMALI,DESTRA,FERMO,MANO,TASCA_DESTRA_DIETRO_PANTALONI)
(9,9,F,36-40,1.61-1.70,NORMALI,DESTRA,FERMO,MANO,TASCA_SINISTRA_DAVANTI_PANTALONI)
(10,10,F,36-40,1.61-1.70,NORMALI,DESTRA,FERMO,MANO,TASCA_SINISTRA_DAVANTI_PANTALONI)
(11,11,F,36-40,1.61-1.70,NORMALI,DESTRA,FERMO,CHIAMATA,TASCA_DESTRA_DAVANTI_PANTALONI)
(12,12,F,36-40,1.61-1.70,NORMALI,DESTRA,FERMO,CHIAMATA,TASCA_DESTRA_DAVANTI_PANTALONI)
(13,13,F,36-40,1.61-1.70,NORMALI,DESTRA,CAMMINANDO,CHIAMATA,BORSA)
